title
"American President, The"
"City of Lost Children, The"
Shanghai Triad (Yao a yao yao dao waipo qiao)
Seven (Se7en)
"Usual Suspects, The"
"Big Green, The"
"Postino, Il (The Postman)"
"Confessional, The (Le Confessionnal)"
"Indian in the Cupboard, The"
French Twist (Gazon maudit)
"Misérables, Les"
"Crossing Guard, The"
"Juror, The"
"White Balloon, The (Badkonake Sefid )"
Antonia's Line (Antonia)
"Journey of August King, The"
"Hate (Haine, La)"
"Bridges of Madison County, The"
Nobody Loves Me (Keiner liebt mich)
"Young Poisoner's Handbook, The"
"Boys of St. Vincent, The"
"Star Maker, The (Uomo delle stelle, L')"
"NeverEnding Story III, The"
"Silence of the Palace, The (Saimt el Qusur)"
"Neon Bible, The"
"Birdcage, The"
Shadows (Cienie)
"Brothers McMullen, The"
"Amazing Panda Adventure, The"
"Basketball Diaries, The"
"Awfully Big Adventure, An"
"Doom Generation, The"
"Scarlet Letter, The"
"Stars Fell on Henrietta, The"
"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)"
"Tie That Binds, The"
"Walk in the Clouds, A"
"Browning Version, The"
Burnt By the Sun (Utomlyonnye solntsem)
Before the Rain (Pred dozhdot)
"Goofy Movie, A"
Farinelli: il castrato
"Glass Shield, The"
"Jerky Boys, The"
"Kid in King Arthur's Court, A"
"Little Princess, A"
"Enfer, L'"
Like Water for Chocolate (Como agua para chocolate)
My Crazy Life (Mi vida loca)
"Madness of King George, The"
"Professional, The (a.k.a. Leon: The Professional)"
"Perez Family, The"
"Pyromaniac's Love Story, A"
Queen Margot (La Reine Margot)
"Quick and the Dead, The"
Ready to Wear (Pret-A-Porter)
"Red Firecracker, Green Firecracker"
"Secret of Roan Inish, The"
"Specialist, The"
"Santa Clause, The"
"Shawshank Redemption, The"
Strawberry and Chocolate (Fresa y chocolate)
"Sum of Us, The"
To Live (Huozhe)
Tales From the Crypt Presents: Demon Knight
"Baby-Sitters Club, The"
"Flintstones, The"
"Wonderful, Horrible Life of Leni Riefenstahl, The (Die Macht der Bilder)"
"Lion King, The"
Wes Craven's New Nightmare
"Paper, The"
"River Wild, The"
"Man of No Importance, A"
"Low Down Dirty Shame, A"
"Colonel Chabert, Le"
"Secret Adventures of Tom Thumb, The"
Two Crimes
Highlander III: The Sorcerer
"Age of Innocence, The"
"Air Up There, The"
"Beverly Hillbillies, The"
"Bronx Tale, A"
"Cowboy Way, The"
"Endless Summer 2, The"
"Firm, The"
"Good Man in Africa, A"
"Englishman Who Went Up a Hill, But Came Down a Mountain, The"
"House of the Spirits, The"
"Hudsucker Proxy, The"
"Man Without a Face, The"
In the Realm of the Senses (Ai no corrida)
"Next Karate Kid, The"
"Program, The"
Robert A. Heinlein's The Puppet Masters
"Ref, The"
"Road to Wellville, The"
"Saint of Fort Washington, The"
"Savage Nights (Nuits fauves, Les)"
"Secret Garden, The"
"Simple Twist of Fate, A"
"Nightmare Before Christmas, The"
"Three Musketeers, The"
"War Room, The"
"Pagemaster, The"
"Beans of Egypt, Maine, The"
Killer (Bulletproof Heart)
"Slingshot, The (Kådisbellan )"
"Wedding Gift, The"
"Ciao, Professore! (Io speriamo che me la cavo )"
"Little Rascals, The"
"Hour of the Pig, The"
"Scorta, La"
"Celluloid Closet, The"
Metisse (Café au Lait)
Dear Diary (Caro Diario)
I Don't Want to Talk About It (De eso no se habla)
"Brady Bunch Movie, The"
"Silence of the Lambs, The"
"Wild Bunch, The"
"Wooden Man's Bride, The (Wu Kui)"
"Great Day in Harlem, A"
"Pallbearer, The"
Bread and Chocolate (Pane e cioccolata)
"Aristocats, The"
"Flower of My Secret, The (La Flor de Mi Secreto)"
Scream of Stone (Schrei aus Stein)
"Modern Affair, A"
Asfour Stah
"Thin Line Between Love and Hate, A"
Land and Freedom (Tierra y libertad)
"Family Thing, A"
Jack and Sarah
"Little Indian, Big City (Un indien dans la ville)"
Cold Fever (Á köldum klaka)
"Superweib, Das"
Mutters Courage
"World of Apu, The (Apur Sansar)"
"Run of the Country, The"
Clean Slate (Coup de Torchon)
"Eye of Vichy, The (Oeil de Vichy, L')"
"Promise, The (Versprechen, Das)"
Under the Domin Tree (Etz Hadomim Tafus)
"Substitute, The"
"Horseman on the Roof, The (Hussard sur le toit, Le)"
Mouth to Mouth (Boca a boca)
"Visitors, The (Les Visiteurs)"
Halfmoon (Paul Bowles - Halbmond)
"Haunted World of Edward D. Wood Jr., The"
"Great White Hype, The"
"Institute Benjamenta, or This Dream People Call Human Life"
"Low Life, The"
Cemetery Man (Dellamorte Dellamore)
"Garcu, Le"
Ghost in the Shell (Kokaku kidotai)
"Close Shave, A"
"Stupids, The"
"Man from Down Under, The"
"Month by the Lake, A"
"Jar, The (Khomreh)"
"Last of the High Kings, The (a.k.a. Summer Fling)"
"Grass Harp, The"
"Vie est belle, La (Life is Rosey)"
Touki Bouki (Journey of the Hyena)
Wend Kuuni (God's Gift)
Spirits of the Dead (Tre Passi nel Delirio)
Independence Day (ID4)
"Hunchback of Notre Dame, The"
"Cable Guy, The"
"Gate of Heavenly Peace, The"
"Nutty Professor, The"
"I, Worst of All (Yo, la peor de todas)"
An Unforgettable Summer
"Last Klezmer: Leopold Kozlowski, His Life and Music, The"
"Hungarian Fairy Tale, A"
My Life and Times With Antonin Artaud (En compagnie d'Antonin Artaud)
Midnight Dancers (Sibak)
"Very Natural Thing, A"
"Old Lady Who Walked in the Sea, The (Vieille qui marchait dans la mer, La)"
"Frighteners, The"
"Rendezvous in Paris (Rendez-vous de Paris, Les)"
"Bewegte Mann, Der"
Magic Hunter
"Boy Called Hate, A"
"Very Brady Sequel, A"
"Death in the Garden (Mort en ce jardin, La)"
"Crude Oasis, The"
"Collectionneuse, La"
Echte Kerle
"Convent, The (Convento, O)"
"Adventures of Pinocchio, The"
"First Wives Club, The"
"Crow: City of Angels, The"
Tales from the Crypt Presents: Bordello of Blood
"Story of Xinghua, The"
"Day the Sun Turned Cold, The (Tianguo niezi)"
"Big Squeeze, The"
"Spitfire Grill, The"
"Ballad of Narayama, The (Narayama Bushiko)"
"Hippie Revolution, The"
"Maybe, Maybe Not (Bewegte Mann, Der)"
Aiqing wansui
Shadow of Angels (Schatten der Engel)
Police Story 4: Project S (Chao ji ji hua)
"Relic, The"
"Island of Dr. Moreau, The"
"Trigger Effect, The"
"Philadelphia Story, The"
"American in Paris, An"
"Gay Divorcee, The"
"Maltese Falcon, The"
"Little Princess, The"
Sunset Blvd. (a.k.a. Sunset Boulevard)
"Affair to Remember, An"
"Band Wagon, The"
"Reluctant Debutante, The"
"Adventures of Robin Hood, The"
"Mark of Zorro, The"
"Ghost and Mrs. Muir, The"
"Thin Man, The"
"Inspector General, The"
"39 Steps, The"
"Walk in the Sun, A"
"African Queen, The"
"Last Time I Saw Paris, The"
"Farewell to Arms, A"
"Blue Angel, The (Blaue Engel, Der)"
In the Line of Duty 2
"Pompatus of Love, The"
Schlafes Bruder (Brother of Sleep)
"Rich Man's Wife, The"
"Associate, The (L'Associe)(1982)"
"Glimmer Man, The"
"Chamber, The"
"Apple Dumpling Gang, The"
"Love Bug, The"
"Parent Trap, The"
"Shaggy Dog, The"
"Three Caballeros, The"
"Sword in the Stone, The"
"Fox and the Hound, The"
"Lawnmower Man, The"
"Secret Agent, The"
"Long Kiss Goodnight, The"
"Ghost and the Darkness, The"
"Proprietor, The"
Bitter Sugar (Azucar Amargo)
William Shakespeare's Romeo and Juliet
"Sunchaser, The"
"Woman in Question, The"
"Damsel in Distress, A"
"Sexual Life of the Belgians, The"
"Fish Called Wanda, A"
Monty Python's Life of Brian
"Crying Game, The"
"Search for One-eye Jimmy, The"
"Streetcar Named Desire, A"
Children of the Corn IV: The Gathering
"Leopard Son, The"
Charm's Incidents
Microcosmos (Microcosmos: Le peuple de l'herbe)
"Associate, The"
"Funeral, The"
"Single Girl, A (La Fille Seule)"
"Eighth Day, The (Le Huitième jour )"
Tashunga
"People vs. Larry Flynt, The"
"Perfect Candidate, A"
"Return of the Pink Panther, The"
"Howling, The"
Manon of the Spring (Manon des sources)
"Line King: Al Hirschfeld, The"
"Wrong Trousers, The"
JLG/JLG - autoportrait de décembre
"Return of Martin Guerre, The (Retour de Martin Guerre, Le)"
"Invitation, The (Zaproszenie)"
"Children Are Watching us, The (Bambini ci guardano, I)"
"Symphonie pastorale, La"
"Tin Drum, The (Blechtrommel, Die)"
"Ruling Class, The"
Two or Three Things I Know About Her
"Bloody Child, The"
"Double Life of Veronique, The (La Double Vie de Véronique)"
"Grifters, The"
"English Patient, The"
"Good, The Bad and The Ugly, The"
"Clockwork Orange, A"
Wings of Desire (Der Himmel über Berlin)
"Third Man, The"
"Big Blue, The (Le Grand Bleu)"
"Killer, The (Die xue shuang xiong)"
"Blues Brothers, The"
"Godfather: Part II, The"
"Grand Day Out, A"
"Right Stuff, The"
"Boat, The (Das Boot)"
"Seventh Seal, The (Sjunde inseglet, Det)"
Rosencrantz and Guildenstern Are Dead
"Graduate, The"
Nikita (La Femme Nikita)
"Bridge on the River Kwai, The"
"Day the Earth Stood Still, The"
